name,description,coverImage,cards,privacy,language,deleted,createdAt,updatedAt
Sentieri 9B: Indefinites,Indefinite adjectives and pronouns,https://s3.amazonaws.com/tinycards/image/a7d3d861e07547211ff813f954f128b8,"### Card 1
Front
* alcuni, alcune

Back
* some, a few
* Adjective
* Plural

### Card 2
Front
* altro, altra, altri, altre

Back
* other
* Adjective

### Card 3
Front
* molto, molta, molti, molte

Back
* many, a lot of
* Adjective

### Card 4
Front
* ogni

Back
* each, every
* Adjective
* Singular

### Card 5
Front
* poco, poca, pochi, poche

Back
* little, few
* Adjective

### Card 6
Front
* qualche

Back
* some, a few
* Adjective
* Singular

### Card 7
Front
* quanto, quanta, quanti, quante

Back
* how much, how many
* Adjective

### Card 8
Front
* tanto, tanta, tanti, tante

Back
* so much, so many
* Adjective

### Card 9
Front
* troppo, troppa, troppi, troppe

Back
* too much, too many
* Adjective

### Card 10
Front
* tutto, tutta, tutti, tutte

Back
* all, the whole
* Adjective

### Card 11
Front
* nessuno, nessuna

Back
* no, not any
* Adjective
* Singular

### Card 12
Front
* qualunque, qualsiasi

Back
* any, whatever, whichever
* Adjective
* Singular

### Card 13
Front
* Ciascuno, ciascuna

Back
* Each
* Adjective
* Singular

### Card 14
Front
* Alcuni, alcune

Back
* Some, a few
* Pronoun

### Card 15
Front
* Altro

Back
* Something (anything) else
* Pronoun

### Card 16
Front
* Altri, Altre

Back
* Others
* Pronoun

### Card 17
Front
* Molto, Molta, Molti, Molte

Back
* Much, many
* Pronoun

### Card 18
Front
* Ognuno, Ognuna

Back
* Each one, everyone
* Pronoun
* Singular

### Card 19
Front
* Poco, Poca, Pochi, Poche

Back
* Little, Few
* Pronoun

### Card 20
Front
* Qualcuno, qualcuna

Back
* Someone
* Pronoun
* Singular

### Card 21
Front
* Qualcosa

Back
* Something
* Pronoun
* Singular

### Card 22
Front
* Tanto, Tanta, Tanti, Tante

Back
* So much, so many
* Pronoun

### Card 23
Front
* Troppo, troppa, troppi, troppe

Back
* Too much, too many
* Pronoun

### Card 24
Front
* Tutto

Back
* Everything
* Pronoun

### Card 25
Front
* Tutti, Tutte

Back
* Everyone
* Pronoun

### Card 26
Front
* Chiunque

Back
* Any one, whoever
* Pronoun
* Singular

### Card 27
Front
* Nessuno

Back
* No one, not anyone
* Pronoun
* Singular

### Card 28
Front
* Ciascuno

Back
* Each
* Pronoun
* Singular",Everyone,en,False,2019-04-11 22:19:53,2019-07-10 00:59:02
Sentieri 12: Vocabulary,nature and the environment,https://s3.amazonaws.com/tinycards/image/479d495a89856ca08e006133eedd410f,"### Card 1
Front
* la natura

Back
* nature

### Card 2
Front
* l'alba

Back
* dawn; sunrise

### Card 3
Front
* l'albero

Back
* tree

### Card 4
Front
* la baita

Back
* cabin (mountain shelter)

### Card 5
Front
* la campagna

Back
* countryside

### Card 6
Front
* il campo

Back
* field

### Card 7
Front
* la cascata

Back
* waterfall

### Card 8
Front
* il cielo

Back
* sky

### Card 9
Front
* la costa

Back
* coast

### Card 10
Front
* il deserto

Back
* desert

### Card 11
Front
* l'erba

Back
* grass

### Card 12
Front
* la fattoria

Back
* farm

### Card 13
Front
* il fieno

Back
* hay

### Card 14
Front
* il fiore

Back
* flower

### Card 15
Front
* il fiume

Back
* river

### Card 16
Front
* la foresta

Back
* forest

### Card 17
Front
* l'isola

Back
* island

### Card 18
Front
* il lago

Back
* lake

### Card 19
Front
* la luna

Back
* moon

### Card 20
Front
* la montagna

Back
* mountain

### Card 21
Front
* l'oceano

Back
* ocean

### Card 22
Front
* l'orizzonte

Back
* horizon

### Card 23
Front
* la pianta

Back
* plant

### Card 24
Front
* la pietra

Back
* rock

### Card 25
Front
* la pineta

Back
* pine forest

### Card 26
Front
* il prato

Back
* meadow

### Card 27
Front
* la scogliera

Back
* cliff

### Card 28
Front
* il sentiero

Back
* path

### Card 29
Front
* il sole

Back
* sun

### Card 30
Front
* la stella

Back
* star

### Card 31
Front
* il tramonto

Back
* sunset

### Card 32
Front
* la valle

Back
* valley

### Card 33
Front
* esplorare

Back
* to explore

### Card 34
Front
* fare un picnic

Back
* to have a picnic

### Card 35
Front
* passare

Back
* to pass by; to spend time

### Card 36
Front
* remare

Back
* to row

### Card 37
Front
* scalare

Back
* to climb

### Card 38
Front
* sorgere

Back
* to rise (sun)

### Card 39
Front
* tramontare

Back
* to set (sun)

### Card 40
Front
* l'agricoltura biologica

Back
* organic farming

### Card 41
Front
* l'ambientalismo

Back
* environmentalism

### Card 42
Front
* l'ambiente

Back
* environment

### Card 43
Front
* il camion della nettezza urbana

Back
* garbage truck

### Card 44
Front
* la coscienza ambientale

Back
* environmental awareness

### Card 45
Front
* l'ecologia

Back
* ecology

### Card 46
Front
* il governo

Back
* government

### Card 47
Front
* la legge

Back
* law

### Card 48
Front
* la macchina ibrida

Back
* hybrid car

### Card 49
Front
* il riciclaggio

Back
* recycling

### Card 50
Front
* Vietato buttare rifiuti.

Back
* No littering.

### Card 51
Front
* fare il pendolare, fare la pendolare

Back
* to commute

### Card 52
Front
* migliorare

Back
* to improve

### Card 53
Front
* preservare

Back
* to preserve

### Card 54
Front
* proporre una soluzione

Back
* to propose a solution

### Card 55
Front
* riciclare

Back
* to recycle

### Card 56
Front
* salvare il pianeta

Back
* to save the planet

### Card 57
Front
* sprecare

Back
* to waste

### Card 58
Front
* sviluppare

Back
* to develop

### Card 59
Front
* l'ape

Back
* bee

### Card 60
Front
* la capra

Back
* goat

### Card 61
Front
* il coniglio

Back
* rabbit

### Card 62
Front
* il gabbiano

Back
* seagull

### Card 63
Front
* la mucca

Back
* cow

### Card 64
Front
* la pecora

Back
* sheep

### Card 65
Front
* la rondine

Back
* swallow

### Card 66
Front
* lo scoiattolo

Back
* squirrel

### Card 67
Front
* il serpente

Back
* snake

### Card 68
Front
* il toro

Back
* bull

### Card 69
Front
* l'uccello

Back
* bird

### Card 70
Front
* l'energia

Back
* energy

### Card 71
Front
* la centrale nucleare

Back
* nuclear power plant

### Card 72
Front
* l'energia eolica

Back
* wind power

### Card 73
Front
* l'energia nucleare

Back
* nuclear energy

### Card 74
Front
* l'energia solare

Back
* solar energy

### Card 75
Front
* l'energia termica

Back
* thermal energy

### Card 76
Front
* la fabbrica

Back
* factory

### Card 77
Front
* il pannello solare

Back
* solar panel

### Card 78
Front
* i rifiuti tossici

Back
* toxic waste

### Card 79
Front
* l'alluvione

Back
* flood

### Card 80
Front
* la catastrofe

Back
* catastrophe

### Card 81
Front
* il degrado

Back
* deterioration

### Card 82
Front
* il disboscamento

Back
* deforestation

### Card 83
Front
* l'effetto serra

Back
* greenhouse effect

### Card 84
Front
* l'immondizia

Back
* trash

### Card 85
Front
* l'inquinamento

Back
* pollution

### Card 86
Front
* il pericolo

Back
* danger

### Card 87
Front
* la pioggia acida

Back
* acid rain

### Card 88
Front
* il riscaldamento globale

Back
* global warming

### Card 89
Front
* lo scappamento

Back
* exhaust (pipe)

### Card 90
Front
* la sovrappopolazione

Back
* overpopulation",Everyone,en,False,2019-05-22 16:46:12,2019-06-14 15:45:52
Sentieri 11: Vocabulary,the workplace,https://s3.amazonaws.com/tinycards/image/a2968ca26d87a4808c3aa7a07e8829af,"### Card 1
Front
* dare le dimissioni

Back
* to resign

### Card 2
Front
* dirigere

Back
* to manage

### Card 3
Front
* essere ben pagato / pagata

Back
* to be well paid

### Card 4
Front
* essere mal pagato / pagata

Back
* to be poorly paid

### Card 5
Front
* essere disoccupato / disoccupata

Back
* to be unemployed

### Card 6
Front
* fallire

Back
* to fail
* -isc

### Card 7
Front
* fare domanda

Back
* to apply

### Card 8
Front
* fare progetti

Back
* to make plans

### Card 9
Front
* fotocopiare

Back
* to photocopy

### Card 10
Front
* guadagnare

Back
* to earn

### Card 11
Front
* licenziare

Back
* to fire, to dismiss

### Card 12
Front
* ottenere

Back
* to get, to obtain

### Card 13
Front
* prendere un appuntamento

Back
* to make an appointment

### Card 14
Front
* prendere un congedo

Back
* to take leave time

### Card 15
Front
* trovare lavoro

Back
* to find a job

### Card 16
Front
* l'assicurazione (sulla vita)

Back
* (life) insurance

### Card 17
Front
* l'aumento

Back
* raise

### Card 18
Front
* il consulente

Back
* consultant (m)

### Card 19
Front
* la consulente

Back
* consultant (f)

### Card 20
Front
* il dirigente

Back
* executive; manager (m)

### Card 21
Front
* la dirigente

Back
* executive; manager (f)

### Card 22
Front
* il livello

Back
* level

### Card 23
Front
* il pensionato

Back
* retiree (m)

### Card 24
Front
* la pensionata

Back
* retiree (f)

### Card 25
Front
* il principale

Back
* boss (m)

### Card 26
Front
* la principale

Back
* boss (f)

### Card 27
Front
* la promozione

Back
* promotion

### Card 28
Front
* la riunione

Back
* meeting

### Card 29
Front
* il successo

Back
* success

### Card 30
Front
* il sindacato

Back
* (labor) union

### Card 31
Front
* a tempo parziale

Back
* part-time

### Card 32
Front
* a tempo pieno

Back
* full-time

### Card 33
Front
* esigente

Back
* demanding

### Card 34
Front
* la cancelleria per ufficio

Back
* office supplies

### Card 35
Front
* la bacheca

Back
* bulletin board

### Card 36
Front
* la cucitrice

Back
* stapler

### Card 37
Front
* la graffetta

Back
* paper clip; staple

### Card 38
Front
* la rubrica

Back
* address book

### Card 39
Front
* la carriera

Back
* career

### Card 40
Front
* l'agente immobiliare

Back
* real estate agent

### Card 41
Front
* l'agricoltore, l'agricoltrice

Back
* farmer

### Card 42
Front
* il banchiere, la banchiera

Back
* banker

### Card 43
Front
* il barista, la barista

Back
* bartender

### Card 44
Front
* il bidello, la bidella

Back
* caretaker; custodian

### Card 45
Front
* il camionista, la camionista

Back
* truck driver

### Card 46
Front
* il casalingo, la casalinga

Back
* househusband, housewife

### Card 47
Front
* il contabile, la contabile

Back
* accountant

### Card 48
Front
* il cuoco, la cuoca

Back
* cook, chef

### Card 49
Front
* il docente, la docente

Back
* teacher, lecturer

### Card 50
Front
* l'elettricista

Back
* electrician

### Card 51
Front
* il funzionario, la funzionaria

Back
* civil servant

### Card 52
Front
* il giardinere, la giardinera

Back
* gardener

### Card 53
Front
* il giudice, la giudice

Back
* judge

### Card 54
Front
* l'operaio, l'operaia

Back
* (factory) worker

### Card 55
Front
* il pompiere, la pompiera

Back
* firefighter

### Card 56
Front
* il portiere, la portiera

Back
* doorman; caretaker

### Card 57
Front
* lo psicologo, la psicologa

Back
* psychologist

### Card 58
Front
* lo scienzato, la scienzata

Back
* scientist

### Card 59
Front
* il segretario, la segretaria

Back
* secretary

### Card 60
Front
* il tassista, la tassista

Back
* taxi driver

### Card 61
Front
* il tecnico, la tecnico

Back
* technician

### Card 62
Front
* il veterinario, la veterinaria

Back
* veterinarian

### Card 63
Front
* Attenda in linea, per favore

Back
* Please hold.

### Card 64
Front
* C'è il signor?

Back
* Is Mr. ... there?

### Card 65
Front
* C'è la signora?

Back
* Is Mrs. ... there?

### Card 66
Front
* Chi è?  Chi parla?

Back
* Who's calling?

### Card 67
Front
* Da parte di chi?

Back
* On behalf of whom?

### Card 68
Front
* Pronto?

Back
* Hello?

### Card 69
Front
* la cornetta

Back
* telephone receiver

### Card 70
Front
* il numero di telefono

Back
* telephone number

### Card 71
Front
* lasciare un messaggio

Back
* to leave a message

### Card 72
Front
* restare in attesa

Back
* to be on hold

### Card 73
Front
* riattaccare il telefono

Back
* to hang up the phone

### Card 74
Front
* rispondere al telefono

Back
* to answer the phone

### Card 75
Front
* l'assistente amministrativo, amministrativa

Back
* administrative assistant

### Card 76
Front
* l'azienda

Back
* firm

### Card 77
Front
* il candidato, la candidata

Back
* candidate

### Card 78
Front
* il colloquio di lavoro

Back
* job interview

### Card 79
Front
* il consiglio

Back
* advice

### Card 80
Front
* il curriculum vitae, il C.V.

Back
* résumé

### Card 81
Front
* il direttore, la direttrice

Back
* manager, personnel manager

### Card 82
Front
* l'esperienza professionale

Back
* professional experience

### Card 83
Front
* l'istruzione

Back
* education

### Card 84
Front
* l'impiegato, l'impiegata

Back
* employee

### Card 85
Front
* la lettera di referenze

Back
* letter of reference

### Card 86
Front
* le referenze

Back
* references

### Card 87
Front
* il mestiere

Back
* occupation, trade

### Card 88
Front
* le offerte di lavoro

Back
* job openings

### Card 89
Front
* il posto

Back
* position; job

### Card 90
Front
* il salario elevato

Back
* high salary

### Card 91
Front
* il salario basso

Back
* low salary

### Card 92
Front
* il settore

Back
* field, sector

### Card 93
Front
* lo specialista, la specialista

Back
* specialist

### Card 94
Front
* lo stage

Back
* internship

### Card 95
Front
* il tirocinio

Back
* professional training",Everyone,en,False,2019-05-17 15:00:11,2019-05-24 16:41:49
Sentieri 10B: Ordinal Numbers,,https://s3.amazonaws.com/tinycards/image/adc3c1d32c605cb9273f1c7abfa75138,"### Card 1
Front
* primo

Back
* 1°

### Card 2
Front
* secondo

Back
* 2°

### Card 3
Front
* terzo

Back
* 3°

### Card 4
Front
* quarto

Back
* 4°

### Card 5
Front
* quinto

Back
* 5°

### Card 6
Front
* sesto

Back
* 6°

### Card 7
Front
* settimo

Back
* 7°

### Card 8
Front
* ottavo

Back
* 8°

### Card 9
Front
* nono

Back
* 9°

### Card 10
Front
* decimo

Back
* 10°

### Card 11
Front
* undicesimo

Back
* 11°

### Card 12
Front
* ventesimo

Back
* 20°

### Card 13
Front
* ventiseiesimo

Back
* 26°

### Card 14
Front
* trentatreesimo

Back
* 33°

### Card 15
Front
* ottantaduesimo

Back
* 82°

### Card 16
Front
* centesimo

Back
* 100°

### Card 17
Front
* cinquecentesimo

Back
* 500°

### Card 18
Front
* millesimo

Back
* 1000°

### Card 19
Front
* tredicesimo

Back
* 13°

### Card 20
Front
* quattordicesimo

Back
* 14°

### Card 21
Front
* quindicesimo

Back
* 15°

### Card 22
Front
* sedicesimo

Back
* 16°

### Card 23
Front
* diciassettesimo

Back
* 17°

### Card 24
Front
* diciottesimo

Back
* 18°

### Card 25
Front
* diciannovesimo

Back
* 19°",Everyone,en,False,2019-05-08 17:07:14,2019-05-22 16:57:27
Sentieri 10B: Suffixes,,https://s3.amazonaws.com/tinycards/image/25a10b93d56f4a8ef745037a1166c042,"### Card 1
Front
* fratellino

Back
* little brother

### Card 2
Front
* sorellina

Back
* little sister

### Card 3
Front
* casetta

Back
* little house

### Card 4
Front
* nipotina

Back
* small niece

### Card 5
Front
* librone

Back
* large book

### Card 6
Front
* pigrone, pigroni

Back
* very lazy

### Card 7
Front
* parolaccia

Back
* swear word

### Card 8
Front
* filmaccio

Back
* bad film

### Card 9
Front
* bellino, bellina

Back
* cute, pretty

### Card 10
Front
* caruccio, caruccia

Back
* sweet, very dear

### Card 11
Front
* cattivello, cattivella

Back
* a little bit naughty

### Card 12
Front
* piccolino, piccolina

Back
* very small

### Card 13
Front
* la boccuccia

Back
* cute little mouth

### Card 14
Front
* la borsetta

Back
* small purse

### Card 15
Front
* il chiacchierone

Back
* chatterbox (m)

### Card 16
Front
* la chiacchierona

Back
* chatterbox (f)

### Card 17
Front
* il giornalaccio

Back
* trashy newspaper

### Card 18
Front
* la giornataccia

Back
* bad day

### Card 19
Front
* la letterona

Back
* long letter

### Card 20
Front
* la manina

Back
* little hand

### Card 21
Front
* il minestrone

Back
* thick soup

### Card 22
Front
* il nasino

Back
* little nose

### Card 23
Front
* il ragazzaccio

Back
* bad boy

### Card 24
Front
* il tempaccio

Back
* bad weather

### Card 25
Front
* il topolino

Back
* little mouse",Everyone,en,False,2019-05-08 17:00:37,2019-05-22 16:56:44
Sentieri 7B: Imperativo Irregolare,Verbs irregular in the imperative,https://s3.amazonaws.com/tinycards/image/d60494f1e31aa804a4a9be5ce766a407,"### Card 1
Front
* tu (avere)

Back
* abbi

### Card 2
Front
* Lei (avere)

Back
* abbia

### Card 3
Front
* voi (avere)

Back
* abbiate

### Card 4
Front
* Loro (avere)

Back
* abbiano

### Card 5
Front
* tu (essere)

Back
* sii

### Card 6
Front
* Lei (essere)

Back
* sia

### Card 7
Front
* voi (essere)

Back
* siate

### Card 8
Front
* Loro (essere)

Back
* siano

### Card 9
Front
* tu (andare)

Back
* va', vai

### Card 10
Front
* Lei (andare)

Back
* vada

### Card 11
Front
* Loro (andare)

Back
* vadano

### Card 12
Front
* tu (dare)

Back
* da', dai

### Card 13
Front
* Lei (dare)

Back
* dia

### Card 14
Front
* Loro (dare)

Back
* diano

### Card 15
Front
* tu (dire)

Back
* di'

### Card 16
Front
* Lei (dire)

Back
* dica

### Card 17
Front
* Loro (dire)

Back
* dicano

### Card 18
Front
* tu (fare)

Back
* fa', fai

### Card 19
Front
* Lei (fare)

Back
* faccia

### Card 20
Front
* Loro (fare)

Back
* facciano

### Card 21
Front
* tu (sapere)

Back
* sappi

### Card 22
Front
* Lei (sapere)

Back
* sappia

### Card 23
Front
* Loro (sapere)

Back
* sappiano

### Card 24
Front
* tu (stare)

Back
* sta', stai

### Card 25
Front
* Lei (stare)

Back
* stia

### Card 26
Front
* Loro (stare)

Back
* stiano",Everyone,en,False,2019-02-22 20:13:47,2019-05-15 18:05:52
Sentieri 10A: Vocabulary,The performing arts,https://s3.amazonaws.com/tinycards/image/0189a83d4824ff5a4c33ab2b759cb958,"### Card 1
Front
* essere in tour

Back
* to be on tour

### Card 2
Front
* interpretare

Back
* to perform

### Card 3
Front
* mettere in scena

Back
* to put on a show

### Card 4
Front
* recitare un ruolo

Back
* to play a role

### Card 5
Front
* l'applauso

Back
* applause

### Card 6
Front
* l'assolo

Back
* solo

### Card 7
Front
* l'atto

Back
* act

### Card 8
Front
* il balletto

Back
* ballet

### Card 9
Front
* la canzone

Back
* song

### Card 10
Front
* il concerto

Back
* concert

### Card 11
Front
* il coro

Back
* chorus

### Card 12
Front
* il debutto

Back
* debut

### Card 13
Front
* il festival

Back
* festival

### Card 14
Front
* la fine

Back
* end

### Card 15
Front
* l'intervallo

Back
* intermission

### Card 16
Front
* l'orchestra

Back
* orchestra

### Card 17
Front
* la proiezione

Back
* screening

### Card 18
Front
* la rappresentazione dal vivo

Back
* live performance

### Card 19
Front
* gli strumenti musicali

Back
* musical instruments

### Card 20
Front
* il clarinetto

Back
* clarinet

### Card 21
Front
* la fisarmonica

Back
* accordion

### Card 22
Front
* il flauto

Back
* flute

### Card 23
Front
* il sassofono

Back
* saxophone

### Card 24
Front
* il violino

Back
* violin

### Card 25
Front
* il compositore

Back
* composer (m)

### Card 26
Front
* la compositrice

Back
* composer (f)

### Card 27
Front
* il drammaturgo

Back
* playwright (m)

### Card 28
Front
* la drammaturga

Back
* playright (f)

### Card 29
Front
* il personaggio (principale)

Back
* (main) character

### Card 30
Front
* il pubblico

Back
* public; audience

### Card 31
Front
* il regista

Back
* director (m)

### Card 32
Front
* la regista

Back
* director (f)

### Card 33
Front
* il ballerino

Back
* ballet dancer (m)

### Card 34
Front
* la ballerina

Back
* ballet dancer (f)

### Card 35
Front
* il pianista

Back
* pianist (m)

### Card 36
Front
* la pianista

Back
* pianist (f)

### Card 37
Front
* il batterista

Back
* drummer (m)

### Card 38
Front
* la batterista

Back
* drummer (f)

### Card 39
Front
* il chitarrista

Back
* guitarist (m)

### Card 40
Front
* la chitarrista

Back
* guitarist (f)

### Card 41
Front
* la cantante

Back
* singer (f)

### Card 42
Front
* il cantante

Back
* singer (m)

### Card 43
Front
* il gruppo rock

Back
* rock band

### Card 44
Front
* la spettatrice

Back
* spectator (f)

### Card 45
Front
* lo spettatore

Back
* spectator (m)

### Card 46
Front
* applaudire

Back
* to applaud

### Card 47
Front
* la tragedia

Back
* tragedy

### Card 48
Front
* la commedia

Back
* comedy

### Card 49
Front
* il violinista

Back
* violinist (m)

### Card 50
Front
* la violinista

Back
* violinist (f)

### Card 51
Front
* l'opera

Back
* opera

### Card 52
Front
* la poltrona

Back
* seat

### Card 53
Front
* le quinte

Back
* scenery flats

### Card 54
Front
* la scenografia

Back
* scenic design

### Card 55
Front
* il palco, il palcoscenico

Back
* stage

### Card 56
Front
* il fiasco

Back
* failure

### Card 57
Front
* il protagonista

Back
* main character (m)

### Card 58
Front
* il commediografo

Back
* comedy writer

### Card 59
Front
* la replica

Back
* encore performance (theater), rerun (TV)

### Card 60
Front
* la tromba

Back
* trumpet

### Card 61
Front
* la batteria

Back
* drums

### Card 62
Front
* lo spartito

Back
* musical score

### Card 63
Front
* il conservatorio

Back
* conservatory

### Card 64
Front
* il solista

Back
* soloist (m)

### Card 65
Front
* la solista

Back
* soloist (f)

### Card 66
Front
* la protagonista

Back
* main character (f)

### Card 67
Front
* il tenore

Back
* tenor

### Card 68
Front
* il soprano

Back
* soprano

### Card 69
Front
* l'aria

Back
* air

### Card 70
Front
* il libretto

Back
* opera script

### Card 71
Front
* diminuendo

Back
* reduce, lower

### Card 72
Front
* allegro

Back
* cheerful, joyous

### Card 73
Front
* staccato

Back
* detached, disconnected

### Card 74
Front
* rubando

Back
* steal

### Card 75
Front
* lento

Back
* slow

### Card 76
Front
* pianissimo

Back
* very soft

### Card 77
Front
* andante

Back
* moderately slow",Everyone,en,False,2019-04-19 18:26:42,2019-05-09 05:07:17
Sentieri 10A: Infinitive constructions,"A, di, X",https://s3.amazonaws.com/tinycards/image/08d5436bbf6ffbdb5c9542042ffa0a02,"### Card 1
Front
* andare (a)

Back
* andare

### Card 2
Front
* smettere (di)

Back
* smettere

### Card 3
Front
* domandare (di)

Back
* domandare

### Card 4
Front
* imparare (a)

Back
* imparare

### Card 5
Front
* dimenticare (di), dimenticarsi (di)

Back
* dimenticare, dimenticarsi

### Card 6
Front
* insegnare (a)

Back
* insegnare

### Card 7
Front
* ricodare (di), ricordarsi (di)

Back
* ricodare, ricordarsi

### Card 8
Front
* promettere (di)

Back
* promettere

### Card 9
Front
* invitare (a)

Back
* invitare

### Card 10
Front
* sognare (di)

Back
* sognare

### Card 11
Front
* mettersi (a)

Back
* mettersi

### Card 12
Front
* obbligare (a)

Back
* obbligare

### Card 13
Front
* sapere ( )

Back
* sapere

### Card 14
Front
* fingere (di)

Back
* fingere

### Card 15
Front
* preparare (a)

Back
* preparare

### Card 16
Front
* provare (a)

Back
* provare

### Card 17
Front
* piacere ( )

Back
* piacere

### Card 18
Front
* sperare (di)

Back
* sperare

### Card 19
Front
* servire (a)

Back
* servire

### Card 20
Front
* amare ( )

Back
* amare

### Card 21
Front
* venire (a)

Back
* venire

### Card 22
Front
* cercare (di)

Back
* cercare

### Card 23
Front
* chiedere (di)

Back
* chiedere

### Card 24
Front
* preferire ( )

Back
* preferire

### Card 25
Front
* consigliare (di)

Back
* consigliare

### Card 26
Front
* fare ( )

Back
* fare

### Card 27
Front
* credere (di)

Back
* credere

### Card 28
Front
* decidere (di)

Back
* decidere

### Card 29
Front
* dire (di)

Back
* dire

### Card 30
Front
* dubitare (di)

Back
* dubitare

### Card 31
Front
* cominciare (a)

Back
* cominciare

### Card 32
Front
* volere ( )

Back
* volere

### Card 33
Front
* finire (di)

Back
* finire

### Card 34
Front
* lamentarsi (di)

Back
* lamentarsi

### Card 35
Front
* continuare (a)

Back
* continuare

### Card 36
Front
* dovere ( )

Back
* dovere

### Card 37
Front
* desiderare ( )

Back
* desiderare

### Card 38
Front
* pensare (di)

Back
* pensare (to plan)

### Card 39
Front
* riuscire (a)

Back
* riuscire

### Card 40
Front
* permettere (di)

Back
* permettere

### Card 41
Front
* aiutare (a)

Back
* aiutare

### Card 42
Front
* rendersi conto (di)

Back
* rendersi conto

### Card 43
Front
* divertirsi (a)

Back
* divertirsi

### Card 44
Front
* lasciare ( )

Back
* lasciare

### Card 45
Front
* suggerire (di)

Back
* suggerire
* -isc

### Card 46
Front
* pensare (a)

Back
* pensare (to think about)

### Card 47
Front
* potere ( )

Back
* potere

### Card 48
Front
* temere (di)

Back
* temere",Everyone,en,False,2019-04-25 23:56:47,2019-05-01 18:05:17
Sentieri 10B: Vocabulary,"Fine arts, movies, television, books",https://s3.amazonaws.com/tinycards/image/a60916ccb5ff070b06a6526e4198b8cf,"### Card 1
Front
* girare

Back
* to film, to shoot

### Card 2
Front
* pubblicare

Back
* to publish

### Card 3
Front
* scolpire

Back
* to carve, to sculpt
* -isc

### Card 4
Front
* visitare una galleria d'arte

Back
* to go to an art gallery

### Card 5
Front
* le belle arti

Back
* fine arts

### Card 6
Front
* il capolavoro

Back
* masterpiece

### Card 7
Front
* la collezione

Back
* collection

### Card 8
Front
* l'esposizione

Back
* exhibit

### Card 9
Front
* la mostra

Back
* show; exhibition

### Card 10
Front
* l'opera (d'arte)

Back
* work (of art)

### Card 11
Front
* i media

Back
* the media

### Card 12
Front
* il cinema

Back
* cinema

### Card 13
Front
* l'editoria

Back
* publishing industry

### Card 14
Front
* la radio

Back
* radio

### Card 15
Front
* la stampa

Back
* press

### Card 16
Front
* la televisione

Back
* television

### Card 17
Front
* i generi

Back
* genres

### Card 18
Front
* il cartone animato

Back
* cartoon

### Card 19
Front
* il cortometraggio

Back
* short film

### Card 20
Front
* il documentario

Back
* documentary

### Card 21
Front
* il dramma psicologico

Back
* psychological drama

### Card 22
Front
* la favola

Back
* fairy tale

### Card 23
Front
* il paesaggio

Back
* landscape

### Card 24
Front
* il racconto

Back
* short story

### Card 25
Front
* il racconto epico

Back
* epic

### Card 26
Front
* il ritratto

Back
* portrait

### Card 27
Front
* scrivere una recensione

Back
* writing a review

### Card 28
Front
* la trama

Back
* plot

### Card 29
Front
* artistico, artistica

Back
* artistic

### Card 30
Front
* commovente

Back
* touching, moving

### Card 31
Front
* contemporaneo, contemporanea

Back
* contemporary

### Card 32
Front
* dotato, dotata

Back
* gifted, talented

### Card 33
Front
* drammatico, drammatica

Back
* dramatic

### Card 34
Front
* innovativo, innovativa

Back
* innovative

### Card 35
Front
* inquietante

Back
* disturbing

### Card 36
Front
* lo scultore

Back
* sculptor (m)

### Card 37
Front
* la scultrice

Back
* sculptor (f)

### Card 38
Front
* il film di fantascienza

Back
* sci-fi movie

### Card 39
Front
* l'autrice

Back
* author (f)

### Card 40
Front
* l'autore

Back
* author (m)

### Card 41
Front
* lo scrittore

Back
* writer (m)

### Card 42
Front
* la scrittrice

Back
* writer (f)

### Card 43
Front
* il romanzo

Back
* novel

### Card 44
Front
* il film dell'orrore

Back
* horror movie

### Card 45
Front
* il poeta

Back
* poet (m)

### Card 46
Front
* la poetessa

Back
* poet (f)

### Card 47
Front
* la poesia

Back
* poem; poetry

### Card 48
Front
* la pittura

Back
* painting; paint

### Card 49
Front
* il quadro

Back
* painting

### Card 50
Front
* la pittrice

Back
* painter (f)

### Card 51
Front
* il pittore

Back
* painter (m)

### Card 52
Front
* dipingere

Back
* to paint

### Card 53
Front
* la scultura

Back
* sculpture",Everyone,en,False,2019-04-25 23:39:07,2019-05-27 02:33:47
Sentieri 9B: Negatives,Negative expressions,https://s3.amazonaws.com/tinycards/image/1f2bd446d0943bd6341f3a795a38da27,"### Card 1
Front
* non... affatto

Back
* not at all

### Card 2
Front
* non... ancora

Back
* not yet

### Card 3
Front
* non... mai

Back
* never

### Card 4
Front
* Non... nè... nè

Back
* neither... nor

### Card 5
Front
* non... neanche

Back
* not even

### Card 6
Front
* non... nemmeno

Back
* not even

### Card 7
Front
* non... neppure

Back
* not even

### Card 8
Front
* non... nessuno

Back
* nobody

### Card 9
Front
* non... niente

Back
* nothing

### Card 10
Front
* non... nulla

Back
* nothing

### Card 11
Front
* non... più

Back
* no longer",Everyone,en,False,2019-04-11 22:52:40,2019-04-19 19:11:35
